Hidden layer sizes;Train time;Accuracy;MSE;MAE;Cross-entropy
100;0.811;0.9380530973451328;0.05807599811201203;0.16743039596022097;11.495494457032754
(100, 100, 100, 100);2.699;0.9292035398230089;0.047484499160350344;0.09307257800351337;13.927425636444159
(100, 100, 100, 100, 100, 100, 100, 100, 100, 100);4.423;0.9380530973451328;0.04620021707793508;0.08027320831079372;14.182834030589598
